Posição,Município,UF,Quantidade
963,Águas Vermelhas,MG,2
964,Jupiá,SC,2
965,Júlio de Castilhos,RS,2
966,Urussanga,SC,2
967,Vinhedo,SP,2
968,Jussara,GO,2
969,Júlio Borges,PI,2
970,Itápolis,SP,2
971,Ivinhema,MS,2
972,Laranjal do Jari,AP,2
973,Uraí,PR,2
974,Januária,MG,2
975,Limeira do Oeste,MG,2
976,Tio Hugo,RS,2
977,Teotônio Vilela,AL,2
978,Itagibá,BA,2
979,Teutônia,RS,2
980,Linha Nova,RS,2
981,Jaguariúna,SP,2
982,Jaru,RO,2
983,Água Doce,SC,2
984,Vargem Grande Paulista,SP,2
985,Limoeiro,PE,2
986,Vargem Bonita,SC,2
987,Vermelho Novo,MG,2
988,Itacambira,MG,2
989,Louveira,SP,2
990,Itamarandiba,MG,2
991,Tibau do Sul,RN,2
992,Itabaiana,PB,2
993,Jandira,SP,2
994,Vargem Alta,ES,2
995,Jandaíra,BA,2
996,Japeri,RJ,2
997,Valparaíso de Goiás,GO,2
998,Luislândia,MG,2
999,Macaíba,RN,2
1000,Terenos,MS,2
1001,Videira,SC,1
1002,Veríssimo,MG,1
1003,Santa Rosa de Viterbo,SP,1
1004,Santa Rita de Minas,MG,1
1005,Brejões,BA,1
1006,Brejo Grande,SE,1
1007,Santa Teresinha,BA,1
1008,Santana da Boa Vista,RS,1
1009,Brodowski,SP,1
1010,Santa Tereza,RS,1
1011,Santa Tereza do Tocantins,TO,1
1012,Alto Alegre do Pindaré,MA,1
1013,Santana da Ponte Pensa,SP,1
1014,Alvorada do Norte,GO,1
1015,Vila Rica,MT,1
1016,Vila Propício,GO,1
1017,Santana do Jacaré,MG,1
1018,Santana do Paraíso,MG,1
1019,Vigia,PA,1
1020,Alumínio,SP,1
1021,Brumado,BA,1
1022,Santana do Riacho,MG,1
1023,Alto do Rodrigues,RN,1
1024,Arcoverde,PE,1
1025,Alpercata,MG,1
1026,Santa Bárbara do Leste,MG,1
1027,Santa Bárbara,MG,1
1028,Sandovalina,SP,1
1029,Água Branca,PB,1
1030,Cajuri,MG,1
1031,Salgado,SE,1
1032,Acreúna,GO,1
1033,Água Branca,PI,1
1034,Aceguá,RS,1
1035,Rosário Oeste,MT,1
1036,Camapuã,MS,1
1037,Acaiaca,MG,1
1038,Água Fria,BA,1
1039,Rorainópolis,RR,1
1040,Cambira,PR,1
1041,Camboriú,SC,1
1042,Rodeio,SC,1
1043,Roca Sales,RS,1
1044,Abaeté,MG,1
1045,Camocim,CE,1
1046,Ritápolis,MG,1
1047,Abadia dos Dourados,MG,1
1048,Água Boa,MT,1
1049,Santa Cruz de Salinas,MG,1
1050,Santa Rita,PB,1
1051,Agudos,SP,1
1052,Santa Rita,MA,1
1053,Alhandra,PB,1
1054,Visconde do Rio Branco,MG,1
1055,Santa Mariana,PR,1
1056,Cachoeira Paulista,SP,1
1057,Santa Maria de Jetibá,ES,1
1058,Santa Maria da Boa Vista,PE,1
1059,Brejo Alegre,SP,1
1060,Vitorino Freire,MA,1
1061,Várzea Paulista,SP,1
1062,Alegre,ES,1
1063,Santa Luzia,MA,1
1064,Cachoeiras de Macacu,RJ,1
1065,Cachoeirinha,RS,1
1066,Santa Isabel,SP,1
1067,Santa Fé do Sul,SP,1
1068,Santa Ernestina,SP,1
1069,Xapuri,AC,1
1070,Aguiarnópolis,TO,1
1071,Santa Cruz do Capibaribe,PE,1
1072,Caiana,MG,1
1073,Cachoeira do Arari,PA,1
1074,Saubara,BA,1
1075,Brasópolis,MG,1
1076,Tubarão,SC,1
1077,Tremembé,SP,1
1078,São Pedro da União,MG,1
1079,São Pedro da Aldeia,RJ,1
1080,São Miguel Arcanjo,SP,1
1081,São Mateus do Sul,PR,1
1082,Bandeirantes,MS,1
1083,São Luíz do Norte,GO,1
1084,São Luís do Quitunde,AL,1
1085,São Lourenço do Sul,RS,1
1086,Araioses,MA,1
1087,São Roque de Minas,MG,1
1088,Campanário,MG,1
1089,Tupã,SP,1
1090,Barra Longa,MG,1
1091,São João do Cariri,PB,1
1092,São João da Lagoa,MG,1
1093,Barra de São Miguel,AL,1
1094,Turmalina,MG,1
1095,Barra do Rio Azul,RS,1
1096,São João Nepomuceno,MG,1
1097,Baependi,MG,1
1098,Torrinha,SP,1
1099,Barreirinha,AM,1
1100,Tapes,RS,1
1101,Tavares,RS,1
1102,Arco-Íris,SP,1
1103,Teixeira Soares,PR,1
1104,Areias,SP,1
1105,Araçaí,MG,1
1106,Teixeiras,MG,1
1107,Argirita,MG,1
1108,Aricanduva,MG,1
1109,Terezópolis de Goiás,GO,1
1110,Arroio dos Ratos,RS,1
1111,Timbiras,MA,1
1112,Terra de Areia,RS,1
1113,Talismã,TO,1
1114,Taboão da Serra,SP,1
1115,São Vicente do Sul,RS,1
1116,Arari,MA,1
1117,São Simão,GO,1
1118,São Sebastião da Vargem Alegre,MG,1
1119,Tianguá,CE,1
1120,Tietê,SP,1
1121,São José do Belmonte,PE,1
1122,Barreiros,PE,1
1123,Vazante,MG,1
1124,Bom Jesus do Tocantins,PA,1
1125,Boa Vista,RR,1
1126,Angélica,MS,1
1127,Serra do Mel,RN,1
1128,Serra Talhada,PE,1
1129,Bom Jesus,PI,1
1130,Seritinga,MG,1
1131,Valença,BA,1
1132,Senador Modestino Gonçalves,MG,1
1133,Senador Firmino,MG,1
1134,Tefé,AM,1
1135,Sirinhaém,PE,1
1136,Angatuba,SP,1
1137,Bom Repouso,MG,1
1138,Bombinhas,SC,1
1139,Saquarema,RJ,1
1140,Anajatuba,MA,1
1141,Sapiranga,RS,1
1142,Varjão de Minas,MG,1
1143,Santo Antônio do Itambé,MG,1
1144,Amélia Rodrigues,BA,1
1145,Simões Filho,BA,1
1146,Anicuns,GO,1
1147,São José do Barreiro,SP,1
1148,São Francisco do Brejão,MA,1
1149,São José da Varginha,MG,1
1150,Ubaporanga,MG,1
1151,Uiraúna,PB,1
1152,Aquiraz,CE,1
1153,Bela Vista de Goiás,GO,1
1154,São Félix,BA,1
1155,Belford Roxo,RJ,1
1156,Unaí,MG,1
1157,Belmiro Braga,MG,1
1158,São Francisco de Paula,RS,1
1159,Valentim Gentil,SP,1
1160,Upanema,RN,1
1161,São Desidério,BA,1
1162,Uruaçu,GO,1
1163,Belém,PB,1
1164,Urucânia,MG,1
1165,Urupês,SP,1
1166,Urutaí,GO,1
1167,Vale Verde,RS,1
1168,Bicas,MG,1
1169,Rio dos Índios,RS,1
1170,Iraquara,BA,1
1171,Campestre da Serra,RS,1
1172,Licínio de Almeida,BA,1
1173,Fonte Boa,AM,1
1174,Major Vieira,SC,1
1175,Formosa,GO,1
1176,Madre de Deus de Minas,MG,1
1177,Formoso,MG,1
1178,Machadinho D'Oeste,RO,1
1179,Forquilhinha,SC,1
1180,Fraiburgo,SC,1
1181,Francisco Beltrão,PR,1
1182,Limoeiro do Norte,CE,1
1183,Fruta de Leite,MG,1
1184,Lima Duarte,MG,1
1185,Lavras da Mangabeira,CE,1
1186,Mamanguape,PB,1
1187,Galinhos,RN,1
1188,Lauro de Freitas,BA,1
1189,Gaspar,SC,1
1190,Laranjal,MG,1
1191,Goiana,PE,1
1192,Lambari,MG,1
1193,Lajinha,MG,1
1194,Goianésia do Pará,PA,1
1195,Goiás,GO,1
1196,Gouveia,MG,1
1197,Lagoa Grande,MG,1
1198,Lagoa Formosa,MG,1
1199,Florínia,SP,1
1200,Floresta do Araguaia,PA,1
1201,Ladainha,MG,1
1202,Estrela do Sul,MG,1
1203,Dumont,SP,1
1204,Miranorte,TO,1
1205,Eldorado,SP,1
1206,Elói Mendes,MG,1
1207,Embu,SP,1
1208,Mirandópolis,SP,1
1209,Encruzilhada,BA,1
1210,Engenheiro Caldas,MG,1
1211,Miranda,MS,1
1212,Entre Rios de Minas,MG,1
1213,Mercês,MG,1
1214,Estrela Dalva,MG,1
1215,Maxaranguape,RN,1
1216,Manicoré,AM,1
1217,Matipó,MG,1
1218,Matelândia,PR,1
1219,Exu,PE,1
1220,Fama,MG,1
1221,Faria Lemos,MG,1
1222,Martins Soares,MG,1
1223,Maripá de Minas,MG,1
1224,Marcionílio Souza,BA,1
1225,Marau,RS,1
1226,Ferros,MG,1
1227,Maraial,PE,1
1228,Flores de Goiás,GO,1
1229,Lagoa Dourada,MG,1
1230,Guaimbê,SP,1
1231,Rio Preto,MG,1
1232,Itariri,SP,1
1233,Jaci,SP,1
1234,Jacareacanga,PA,1
1235,Jaboatão dos Guararapes,PE,1
1236,Ijaci,MG,1
1237,Ilha Solteira,SP,1
1238,Ilhabela,SP,1
1239,Itueta,MG,1
1240,Itaí,SP,1
1241,Imbé,RS,1
1242,Imperatriz,MA,1
1243,Indaial,SC,1
1244,Itatiaia,RJ,1
1245,Indiara,GO,1
1246,Icém,SP,1
1247,Itapipoca,CE,1
1248,Itaperuna,RJ,1
1249,Itapecerica,MG,1
1250,Itapagé,CE,1
1251,Itamarati,AM,1
1252,Ipanema,MG,1
1253,Iperó,SP,1
1254,Ipiaú,BA,1
1255,Ipueiras,CE,1
1256,Ipupiara,BA,1
1257,Irauçuba,CE,1
1258,Iramaia,BA,1
1259,Igarapava,SP,1
1260,Jacobina,BA,1
1261,Juti,MS,1
1262,Guimarânia,MG,1
1263,Guanhães,MG,1
1264,Jutaí,AM,1
1265,Guapó,GO,1
1266,Juramento,MG,1
1267,Guarantã do Norte,MT,1
1268,Jumirim,SP,1
1269,José de Freitas,PI,1
1270,José Bonifácio,SP,1
1271,Guaraçaí,SP,1
1272,Jauru,MT,1
1273,Guaxupé,MG,1
1274,Jati,CE,1
1275,Jataí,GO,1
1276,Icapuí,CE,1
1277,Gurinhém,PB,1
1278,Heliodora,MG,1
1279,Japaraíba,MG,1
1280,Holambra,SP,1
1281,Jandaia do Sul,PR,1
1282,Jandaia,GO,1
1283,Jampruca,MG,1
1284,Jaguaré,ES,1
1285,Jaguarari,BA,1
1286,Ibirité,MG,1
1287,Jaguaquara,BA,1
1288,Ibotirama,BA,1
1289,Dueré,TO,1
1290,Miraíma,CE,1
1291,Dom Expedito Lopes,PI,1
1292,Pirapemas,MA,1
1293,Carlos Barbosa,RS,1
1294,Carlos Chagas,MG,1
1295,Portelândia,GO,1
1296,Iranduba,AM,1
1297,Porangatu,GO,1
1298,Pontalina,GO,1
1299,Pompéia,SP,1
1300,Planalto,BA,1
1301,Pitangui,MG,1
1302,Piraúba,MG,1
1303,Castelo,ES,1
1304,Piraí do Sul,PR,1
1305,Pirambu,SE,1
1306,Porto Real,RJ,1
1307,Catas Altas da Noruega,MG,1
1308,Piracanjuba,GO,1
1309,Peritoró,MA,1
1310,Caxingó,PI,1
1311,Pendências,RN,1
1312,Ceará-Mirim,RN,1
1313,Pedro Alexandre,BA,1
1314,Pedras de Fogo,PB,1
1315,Paulo Lopes,SC,1
1316,Passo do Sobrado,RS,1
1317,Passo de Torres,SC,1
1318,Cianorte,PR,1
1319,Cariré,CE,1
1320,Porto do Mangue,RN,1
1321,Dom Cavati,MG,1
1322,Raul Soares,MG,1
1323,Rio Piracicaba,MG,1
1324,Rio Negrinho,SC,1
1325,Rio Largo,AL,1
1326,Rio Espera,MG,1
1327,Campo Mourão,PR,1
1328,Campo Verde,MT,1
1329,Campo do Meio,MG,1
1330,Rio Acima,MG,1
1331,Cana Verde,MG,1
1332,Cananéia,SP,1
1333,Canas,SP,1
1334,Redenção do Gurguéia,PI,1
1335,Canoinhas,SC,1
1336,Carbonita,MG,1
1337,Rafael Jambeiro,BA,1
1338,Rafael Fernandes,RN,1
1339,Capelinha,MG,1
1340,Capim Branco,MG,1
1341,Queluz,SP,1
1342,Propriá,SE,1
1343,Caracaraí,RR,1
1344,Presidente Kennedy,ES,1
1345,Carangola,MG,1
1346,Presidente Alves,SP,1
1347,Caravelas,BA,1
1348,Poço Fundo,MG,1
1349,Cidelândia,MA,1
1350,Cocalzinho de Goiás,GO,1
1351,Paranaiguara,GO,1
1352,Custódia,PE,1
1353,Nossa Senhora da Glória,SE,1
1354,Cristina,MG,1
1355,Nazaré,BA,1
1356,Naviraí,MS,1
1357,Murutinga do Sul,SP,1
1358,Cubati,PB,1
1359,Muitos Capões,RS,1
1360,Mucajaí,RR,1
1361,Curionópolis,PA,1
1362,Mostardas,RS,1
1363,Morro da Garça,MG,1
1364,Morro Grande,SC,1
1365,Mormaço,RS,1
1366,Palmitinho,RS,1
1367,Cândido Sales,BA,1
1368,Monção,MA,1
1369,Delmiro Gouveia,AL,1
1370,Montividiu,GO,1
1371,Descalvado,SP,1
1372,Monte Santo de Minas,MG,1
1373,Monjolos,MG,1
1374,Moju,PA,1
1375,Dilermando de Aguiar,RS,1
1376,Moji Mirim,SP,1
1377,Divinésia,MG,1
1378,Divisópolis,MG,1
1379,Cristal,RS,1
1380,Nova Alvorada do Sul,MS,1
1381,Nova Andradina,MS,1
1382,Couto de Magalhães de Minas,MG,1
1383,Colinas do Tocantins,TO,1
1384,Comendador Gomes,MG,1
1385,Conceição da Barra,ES,1
1386,Pai Pedro,MG,1
1387,Conceição do Jacuípe,BA,1
1388,Conceição do Rio Verde,MG,1
1389,Conchas,SP,1
1390,Ouro Preto do Oeste,RO,1
1391,Conde,PB,1
1392,Congonhas do Norte,MG,1
1393,Orizona,GO,1
1394,Oriximiná,PA,1
1395,Onda Verde,SP,1
1396,Contenda,PR,1
1397,Cordilheira Alta,SC,1
1398,Nuporanga,SP,1
1399,Novo Oriente de Minas,MG,1
1400,Novo Machado,RS,1
1401,Novo Lino,AL,1
1402,Novo Cruzeiro,MG,1
1403,Nova Xavantina,MT,1
1404,Coronel Fabriciano,MG,1
1405,Coronel Murta,MG,1
1406,Coronel Pacheco,MG,1
1407,Nova Itarana,BA,1
1408,Abadia de Goiás,GO,1
