Posição,Município,UF,Quantidade
229,Governador Dix-Sept Rosado,RN,9
230,São Domingos do Prata,MG,9
231,Serra do Salitre,MG,9
232,Alagoinhas,BA,9
233,Itaquaquecetuba,SP,9
234,Tupaciguara,MG,9
235,Araçatuba,SP,9
236,São Gonçalo do Amarante,CE,9
237,Areia Branca,RN,9
238,Mariana,MG,8
239,Jaciara,MT,8
240,Siriri,SE,8
241,Mateus Leme,MG,8
242,Caetanópolis,MG,8
243,Miracatu,SP,8
244,Imbituba,SC,8
245,Mogi das Cruzes,SP,8
246,São João de Meriti,RJ,8
247,Porto Ferreira,SP,8
248,Tupanciretã,RS,8
249,Três Rios,RJ,8
250,Itaúna,MG,8
251,Cornélio Procópio,PR,8
252,Jeceaba,MG,8
253,Osório,RS,8
254,Palmeira,PR,8
255,Orlândia,SP,8
256,Arcos,MG,8
257,Parauapebas,PA,8
258,Passo Fundo,RS,8
259,Castro Alves,BA,8
260,Chapadão do Sul,MS,8
261,Penha,SC,8
262,Cotia,SP,8
263,Nova Era,MG,8
264,Pilar,AL,8
265,Cataguases,MG,8
266,Alto Araguaia,MT,8
267,Engenheiro Coelho,SP,8
268,Bom Despacho,MG,8
269,Santo Antônio do Monte,MG,8
270,Brotas,SP,8
271,Lapa,PR,8
272,Bocaiúva,MG,8
273,Grão Mogol,MG,8
274,Vitória da Conquista,BA,8
275,Sapucaia,RJ,8
276,Anchieta,ES,7
277,Valparaíso,SP,7
278,São Gabriel do Oeste,MS,7
279,Patos de Minas,MG,7
280,Bataguassu,MS,7
281,Coari,AM,7
282,Guaraqueçaba,PR,7
283,São Gotardo,MG,7
284,Santo Antônio do Descoberto,GO,7
285,Mauá da Serra,PR,7
286,Itupeva,SP,7
287,Varginha,MG,7
288,Corumbá,MS,7
289,Erechim,RS,7
290,Araguaína,TO,7
291,Várzea Grande,MT,7
292,Monte Castelo,SC,7
293,Leme,SP,7
294,Serra,ES,7
295,Divina Pastora,SE,7
296,Barra Velha,SC,7
297,Barra do Piraí,RJ,7
298,Janaúba,MG,7
299,Chapecó,SC,7
300,Poços de Caldas,MG,7
301,Delfim Moreira,MG,7
302,Praia Grande,SP,7
303,Barra dos Coqueiros,SE,7
304,Aparecida do Taboado,MS,7
305,João Pinheiro,MG,7
306,Bandeirantes,PR,7
307,Santaluz,BA,7
308,Ewbank da Câmara,MG,7
309,Santa Cecília,SC,7
310,Madre de Deus,BA,7
311,Guaramirim,SC,7
312,Areal,RJ,7
313,Veranópolis,RS,7
314,Nova Ponte,MG,7
315,Caeté,MG,7
316,Santa Adélia,SP,7
317,Colombo,PR,7
318,Caxambu,MG,7
319,Ouro Fino,MG,7
320,Conselheiro Lafaiete,MG,7
321,Itu,SP,7
